Rosay	person-other
were	O
both	O
dummies	O
to	O
test	O
procedures	O
and	O
fit	O
.	O

Western	O
fighter	O
jets	O
also	O
made	O
an	O
appearance	O
with	O
the	O
introduction	O
of	O
the	O
delta-wing	O
Saab	product-airplane
Draken	product-airplane
in	O
1/100	O
to	O
complement	O
the	O
MiG-21	product-airplane
.	O

As	O
part	O
of	O
the	O
reorganisation	O
of	O
Police	organization-other
Air	organization-other
Support	organization-other
in	O
England	location-GPE
and	O
Wales	location-GPE
and	O
the	O
formation	O
of	O
the	O
National	organization-other
Police	organization-other
Air	organization-other
Service	organization-other
,	O
Merseyside	location-GPE
operationally	O
retired	O
its	O
dedicated	O
Police	O
helicopter	O
``	O
G-XMII	product-airplane
``	O
in	O
July	O
2011	O
.	O

Vayudoot	organization-company
's	O
first	O
Dornier	product-airplane
228	product-airplane
began	O
service	O
in	O
1985	O
on	O
the	O
Delhi-Raebareli-Lucknow	location-other
route	O
.	O

The	O
rapid	O
expansion	O
of	O
Südavia	product-airplane
brought	O
about	O
financial	O
problems	O
and	O
some	O
routes	O
were	O
taken	O
over	O
by	O
DLT	O
.	O

With	O
the	O
appearance	O
of	O
the	O
Soviet	product-airplane
Mikoyan-Gurevich	product-airplane
MiG-15	product-airplane
in	O
combat	O
over	O
North	location-GPE
Korea	location-GPE
in	O
1950	O
,	O
USAF	organization-other
propeller-driven	O
bombers	O
were	O
rendered	O
obsolete	O
as	O
strategic	O
offensive	O
weapons	O
.	O

Zhao	person-soldier
Baotong	person-soldier
(	O
,	O
1928	O
in	O
Fushun	location-GPE
,	O
Liaoning	location-GPE
-	O
2003	O
)	O
was	O
a	O
MiG-15	product-airplane
pilot	product-airplane
of	O
the	O
People	location-GPE
's	location-GPE
Republic	location-GPE
of	location-GPE
China	location-GPE
.	O

(	O
This	O
``	O
Halley	organization-other
Armada	organization-other
``	O
included	O
Giotto	product-airplane
,	O
Vega	product-airplane
1	product-airplane
and	product-airplane
2	product-airplane
,	O
Suisei	product-airplane
and	O
Sakigake	product-airplane
.	O
)	O

On	O
10	O
December	O
2010	O
,	O
the	O
last	O
20	O
outdated	O
Aérospatiale	product-airplane
Alouette	product-airplane
III	product-airplane
were	O
replaced	O
by	O
two	O
VIP	O
configuration	O
Eurocopter	product-airplane
EC135s	product-airplane
and	O
18	product-airplane
Eurocopter	product-airplane
EC635s	product-airplane
.	O

The	O
Dornier	product-airplane
Do	product-airplane
217/Messerschmitt	product-airplane
Me	product-airplane
328	product-airplane
escort	product-airplane
fighter	product-airplane
project	O
was	O
unsuccessful	O
due	O
to	O
engine	O
problems	O
.	O

Scout-A2	O
,	O
-B2	O
,	O
-C	O
and	O
-2	O
versions	O
planned	O
for	O
Algol	product-airplane
II-C	product-airplane
were	O
never	O
used	O
.	O

The	O
design	O
concept	O
was	O
to	O
use	O
the	O
outer	O
wing	O
panels	O
from	O
the	O
North	product-airplane
American	product-airplane
P-51	product-airplane
Mustang	product-airplane
,	O
the	O
tail	O
assembly	O
from	O
the	O
Douglas	product-airplane
A-24	product-airplane
(	O
SBD	product-airplane
)	O
,	O
and	O
the	O
undercarriage	O
from	O
the	O
Vought	product-airplane
F4U	product-airplane
Corsair	product-airplane
in	O
a	O
general	O
layout	O
much	O
as	O
in	O
the	O
Bell	product-airplane
P-39	product-airplane
Airacobra	product-airplane
with	O
the	O
engine	O
located	O
with	O
the	O
contra-rotating	O
propellers	O
driven	O
through	O
extension	O
shafts	O
.	O

2	O
Flying	O
Training	O
School	O
based	O
at	O
RAF	building-other
Shawbury	building-other
in	O
Shropshire	location-other
and	O
705	organization-other
Naval	organization-other
Air	organization-other
Squadron	organization-other
of	O
the	O
Fleet	organization-other
Air	organization-other
Arm	organization-other
(	O
FAA	organization-other
)	O
operated	O
the	O
Gazelle	product-airplane
HT.2	product-airplane
from	O
RNAS	building-other
Culdrose	building-other
in	O
Cornwall	location-other
.	O

The	O
Bristol	product-airplane
Brabazon	product-airplane
prototype	O
airliner	O
used	O
eight	O
Bristol	product-other
Centaurus	product-other
engines	O
driving	O
four	O
pairs	O
of	O
contra-rotating	O
propellers	O
,	O
each	O
engine	O
driving	O
a	O
single	O
propeller	O
.	O

The	O
Rocket	organization-sportsleague
Racing	organization-sportsleague
League	organization-sportsleague
aircraft	O
currently	O
in	O
development	O
,	O
the	O
Mark-III	product-airplane
X-racer	product-airplane
,	O
is	O
a	O
design	O
descendant	O
of	O
the	O
EZ-Rocket	product-airplane
aircraft	O
.	O

The	O
Mirage	product-airplane
F1	product-airplane
was	O
selected	O
over	O
the	O
General	product-airplane
Dynamics	product-airplane
F-16/79	product-airplane
(	O
an	O
F-16A	product-airplane
powered	O
by	O
the	O
GE	product-other
J79	product-other
turbojet	product-other
series	O
as	O
opposed	O
to	O
the	O
Pratt	product-airplane
&	product-airplane
amp	product-airplane
;	product-airplane
Whitney	product-airplane
F100	product-airplane
,	O
which	O
had	O
25	O
%	O
more	O
power	O
in	O
afterburn	O
)	O
while	O
also	O
acquiring	O
the	O
Northrop	product-airplane
F-5	product-airplane
to	O
complement	O
the	O
Mirage	product-airplane
F1CJ/EJ	product-airplane
in	O
the	O
process	O
.	O

CP	organization-company
Air	organization-company
served	O
the	O
airport	O
with	O
Boeing	product-airplane
737-200	product-airplane
jetliners	O
during	O
the	O
1970s	O
with	O
direct	O
,	O
no	O
change	O
of	O
plane	O
flights	O
to	O
all	O
of	O
the	O
above	O
destinations	O
;	O
however	O
,	O
this	O
jet	O
service	O
ended	O
as	O
a	O
result	O
of	O
deregulation	O
.	O

The	O
56	O
RQS	product-airplane
moved	O
to	O
RAF	location-other
Lakenheath	location-other
from	O
NAS	location-other
Keflavik	location-other
,	O
Iceland	location-GPE
.	O

In	O
retaliation	O
for	O
the	O
shooting	O
down	O
of	O
Flight	product-airplane
825	product-airplane
in	O
September	O
1978	O
,	O
Rhodesian	product-other
Air	product-other
Force	product-other
Canberra	product-other
bombers	product-other
,	O
Hunter	product-other
fighter-bombers	product-other
and	O
helicopter	O
gunships	O
attacked	O
the	O
ZIPRA	building-other
guerrilla	O
base	O
at	O
Westlands	location-GPE
farm	O
near	O
Lusaka	location-GPE
in	O
October	O
1978	O
,	O
warning	O
Zambian	location-GPE
forces	O
by	O
radio	O
not	O
to	O
interfere	O
.	O

Four	O
years	O
later	O
,	O
another	O
Embraer	product-airplane
Brasilia	product-airplane
of	O
ASA	organization-company
crashed	O
in	O
the	O
Georgia	location-GPE
countryside	O
in	O
similar	O
circumstances	O
,	O
with	O
nine	O
fatalities	O
.	O

Air	organization-company
Perú	organization-company
planned	O
to	O
operate	O
Boeing	product-airplane
757-200	product-airplane
aircraft	product-airplane
.	O

The	O
Żak	product-airplane
(	O
old-fashioned	O
``	O
student	O
''	O
)	O
was	O
designed	O
in	O
the	O
Lotnicze	organization-company
Warsztaty	organization-company
Doświadczalne	organization-company
(	O
LWD	organization-company
,	O
``	O
Aviation	organization-company
Experimental	organization-company
Workshops	organization-company
``	O
)	O
in	O
Łódź	location-GPE
,	O
directed	O
by	O
Tadeusz	person-other
Sołtyk	person-other
in	O
1946	O
,	O
as	O
one	O
of	O
the	O
first	O
Polish	location-GPE
post-war	O
aircraft	O
.	O

The	O
route	O
to	O
Bamako	location-GPE
,	O
suspended	O
since	O
the	O
February	O
1966	O
coup	O
,	O
restarted	O
in	O
conjunction	O
with	O
Air	organization-company
Mali	organization-company
operating	O
one	O
of	O
their	O
Il-18s	product-airplane
on	O
the	O
route	O
.	O

Ten	O
Saab	product-airplane
340	product-airplane
``	product-airplane
B	product-airplane
''	product-airplane
model	O
aircraft	O
were	O
returned	O
to	O
Pinnacle	organization-company
Airlines	organization-company
(	O
from	O
whom	O
they	O
were	O
leased	O
)	O
during	O
January	O
2006	O
while	O
the	O
three	O
remaining	O
``	O
A	O
''	O
model	O
Saab	product-airplane
340	product-airplane
's	product-airplane
and	O
the	O
two	O
CRJs	product-airplane
that	O
had	O
been	O
delivered	O
to	O
Mesaba	location-GPE
prior	O
to	O
bankruptcy	O
would	O
leave	O
the	O
fleet	O
before	O
mid-year	O
.	O

By	O
2007	O
,	O
the	O
Army	O
had	O
stopped	O
using	O
the	O
M2	product-airplane
Bradley	product-airplane
in	O
combat	O
,	O
instead	O
favoring	O
more	O
survivable	O
MRAPs	product-airplane
.	O

The	O
V-12	product-airplane
design	O
was	O
patented	O
in	O
the	O
United	location-GPE
States	location-GPE
,	O
United	location-GPE
Kingdom	location-GPE
,	O
and	O
other	O
countries	O
.	O

As	O
JG	product-airplane
52	product-airplane
continued	O
to	O
fight	O
in	O
the	O
air	O
battles	O
in	O
the	O
advance	O
toward	O
Stalingrad	location-GPE
,	O
Schmidt	person-soldier
was	O
awarded	O
the	O
German	other-award
Cross	other-award
in	other-award
Gold	other-award
(	O
)	O
on	O
20	O
August	O
.	O

On	O
19	O
January	O
1970	O
,	O
Vickers	product-airplane
Viscount	product-airplane
G-AMOA	product-airplane
of	O
Cambrian	organization-company
Airways	organization-company
was	O
damaged	O
beyond	O
economic	O
repair	O
in	O
a	O
heavy	O
landing	O
.	O

In	O
addition	O
to	O
providing	O
passenger	O
service	O
,	O
Alaska	organization-company
Airlines	organization-company
also	O
operates	O
Boeing	product-airplane
737-700	product-airplane
all-cargo	O
jet	O
freighter	O
flights	O
into	O
the	O
airport	O
.	O

Moved	O
on	O
paper	O
to	O
Shaw	location-GPE
Field	location-GPE
,	O
South	location-GPE
Carolina	location-GPE
,	O
15	O
August	O
1946	O
and	O
equipped	O
with	O
returned	O
Northrop	product-airplane
P-61	product-airplane
Black	product-airplane
Widow	product-airplane
night	product-airplane
fighters	product-airplane
.	O

292	O
was	O
ordered	O
to	O
focus	O
on	O
Yatsenko	product-airplane
I-28	product-airplane
and	O
Yakovlev	product-airplane
Yak-1	product-airplane
fighters	O
instead	O
.	O

Due	O
to	O
his	O
height	O
,	O
Harris	person-soldier
was	O
selected	O
to	O
fly	O
in	O
the	O
back	O
seat	O
of	O
a	O
Curtiss	product-airplane
SOC	product-airplane
Seagullas	product-airplane
a	O
rear	O
gunner	O
and	O
radio	O
operator	O
.	O

In	O
1953	O
it	O
converted	O
to	O
the	O
strategic	O
reconnaissance	O
mission	O
,	O
upgrading	O
to	O
the	O
Boeing	product-airplane
RB-47	product-airplane
Stratojet	product-airplane
in	O
1954	O
.	O

On	O
17	O
October	O
1973	O
,	O
HS-11	organization-other
moved	O
to	O
its	O
new	O
home	O
port	O
of	O
Naval	building-other
Air	building-other
Station	building-other
Jacksonville	building-other
and	O
was	O
reassigned	O
to	O
Carrier	product-airplane
Air	product-airplane
Wing	product-airplane
ONE	product-airplane
(	O
CVW-1	product-airplane
)	O
where	O
it	O
remains	O
assigned	O
to	O
this	O
day	O
.	O

The	O
airline	O
started	O
operations	O
in	O
1972	O
,	O
created	O
as	O
AeroNorte	organization-company
and	O
using	O
Curtiss	product-airplane
C-46	product-airplane
Commando	product-airplane
aircraft	product-airplane
.	O

In	O
2010	O
as	O
part	O
of	O
the	O
VC-X	O
program	O
the	O
Republic	organization-government,governmentagency
of	organization-government,governmentagency
Korea	organization-government,governmentagency
Air	organization-government,governmentagency
Force	organization-government,governmentagency
along	O
with	O
the	O
Presidential	organization-government,governmentagency
Security	organization-government,governmentagency
Service	organization-government,governmentagency
leased	O
a	O
Boeing	product-airplane
747-400	product-airplane
from	O
Korean	organization-company
Air	organization-company
to	O
serve	O
as	O
the	O
current	O
Code	O
One	O
.	O

According	O
to	O
the	O
April	O
1975	O
Cruzeiro	organization-company
do	organization-company
Sul	organization-company
system	O
timetable	O
,	O
the	O
airline	O
was	O
operating	O
scheduled	O
passenger	O
service	O
to	O
the	O
following	O
destinations	O
in	O
South	location-GPE
America	location-GPE
with	O
an	O
all-jet	O
fleet	O
composed	O
of	O
Boeing	product-airplane
727-100	product-airplane
,	O
Boeing	product-airplane
737-200	product-airplane
and	O
Sud	product-airplane
Aviation	product-airplane
Caravelle	product-airplane
aircraft	O
:	O

His	O
three	O
years	O
in	O
command	O
of	O
the	O
603rd	organization-other
was	O
focused	O
on	O
development	O
of	O
the	O
A-37	product-airplane
Dragonfly	product-airplane
for	O
counter-insurgency	O
;	O
however	O
,	O
the	O
603rd	organization-other
was	O
disbanded	O
in	O
June	O
1971	O
.	O

Two	O
SM.79s	product-airplane
were	O
shot	O
down	O
by	O
Fairey	product-airplane
Fulmars	product-airplane
from	O
``	organization-other
Ark	organization-other
Royal	organization-other
''	organization-other
and	O
a	O
later	O
attack	O
by	O
15	O
Fiat	product-airplane
CR.42s	product-airplane
carrying	O
bombs	O
also	O
failed	O
.	O

Re-equipped	O
with	O
standard	O
B-36J	product-airplane
strategic	O
bombers	O
,	O
conducting	O
worldwide	O
training	O
exercises	O
and	O
standing	O
nuclear	O
alert	O
.	O

Dan	person-soldier
Hampton	person-soldier
is	O
related	O
to	O
Wade	person-soldier
Hampton	person-soldier
,	O
a	O
Civil	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
general	O
;	O
John	person-soldier
Mullen	person-soldier
,	O
one	O
of	O
the	O
Rough	O
Riders	O
;	O
and	O
Col	O
.	O
Daniel	person-soldier
Hampton	person-soldier
,	O
who	O
was	O
an	O
A-4	product-airplane
Skyhawk	product-airplane
attack	O
pilot	O
.	O

The	O
ship	O
supports	O
12	O
AV-8B	product-airplane
Harrier	product-airplane
II	product-airplane
Bravo	product-airplane
or	O
AV-8B	product-airplane
Harrier	product-airplane
II	product-airplane
Plus	product-airplane
aircraft	O
.	O

This	O
was	O
due	O
to	O
Boeing	organization-company
's	organization-company
rescheduled	O
delivery	O
of	O
the	O
Boeing	product-airplane
747-8Fs	product-airplane
ordered	O
by	O
Atlas	organization-company
Air	organization-company
to	O
increase	O
their	O
current	O
fleet	O
.	O

Reviewer	O
Dan	person-artist,author
Johnson	person-artist,author
writing	O
in	O
``	O
EAA	art-writtenart
Sport	art-writtenart
Pilot	art-writtenart
&	art-writtenart
amp	art-writtenart
;	art-writtenart
Light	art-writtenart
Sport	art-writtenart
Aircraft	art-writtenart
Magazine	art-writtenart
``	O
in	O
January	O
2008	O
,	O
described	O
the	O
Chinook	product-airplane
Plus	product-airplane
2	product-airplane
with	O
the	O
HKS	product-other
700E	product-other
engine	O
:	O

In	O
2005	O
,	O
Aerocaribe	organization-company
was	O
renamed	O
Click	organization-company
Mexicana	organization-company
and	O
replaced	O
its	O
fleet	O
of	O
McDonnell	product-airplane
Douglas	product-airplane
DC-9-30s	product-airplane
with	O
Fokker	product-airplane
100	product-airplane
twin-jet	product-airplane
aircraft	O
.	O

It	O
is	O
also	O
used	O
by	O
Lockheed	organization-company
Martin	organization-company
for	O
the	O
F-35	product-airplane
Joint	product-airplane
Strike	product-airplane
Fighter	product-airplane
program	O
(	O
JSF	O
)	O
Inomed	organization-company
uses	O
it	O
to	O
achieve	O
IEC	O
62304	O
certification	O
for	O
their	O
medical	O
device	O
software	O
.	O

At	O
the	O
time	O
when	O
they	O
moved	O
to	O
Groningen	location-GPE
,	O
MFA	organization-education
operated	O
a	O
fleet	O
of	O
four	O
Socata	product-airplane
TB-10s	product-airplane
(	O
registered	O
PH-MLO	product-airplane
,	O
PH-MLQ	product-airplane
,	O
PH-MLR	product-airplane
and	O
PH-MLS	product-airplane
)	O
,	O
two	O
Socata	product-airplane
TB-20s	product-airplane
(	O
registered	O
PH-MLK	product-airplane
and	O
PH-MLL	product-airplane
)	O
and	O
a	O
single	O
Diamond	product-airplane
DA-42NG	product-airplane
Twin	product-airplane
Star	product-airplane
Platinum	product-airplane
(	O
registered	O
PH-MFA	product-airplane
)	O
,	O
which	O
was	O
added	O
to	O
the	O
fleet	O
in	O
2011	O
.	O

As	O
Flight	product-airplane
780	product-airplane
neared	O
Hong	location-GPE
Kong	location-GPE
the	O
crew	O
were	O
unable	O
to	O
change	O
the	O
thrust	O
output	O
of	O
the	O
engines	O
.	O

The	O
Embraer	product-airplane
E-Jet	product-airplane
family	O
is	O
a	O
series	O
of	O
narrow-body	O
short-	O
to	O
medium-range	O
twin-engine	O
jet	O
airliners	O
,	O
carrying	O
66	O
to	O
124	O
passengers	O
commercially	O
,	O
manufactured	O
by	O
Brazilian	organization-company
aerospace	organization-company
manufacturer	organization-company
Embraer	organization-company
.	O

Both	O
aircraft	O
(	O
ZS-BMH	product-airplane
and	O
ZS-AUB	product-airplane
)	O
are	O
in	O
historical	O
South	organization-company
African	organization-company
Airways	organization-company
livery	O
.	O

On	O
26	O
January	O
1950	O
,	O
the	O
Douglas	product-airplane
C-54	product-airplane
Skymaster	product-airplane
serial	O
number	O
``	O
42-72469	product-airplane
``	O
disappeared	O
en	O
route	O
from	O
Alaska	location-GPE
to	O
Montana	location-GPE
,	O
with	O
44	O
people	O
aboard	O
.	O

In	O
1984	O
he	O
purchased	O
a	O
North	product-airplane
American	product-airplane
P-51	product-airplane
Mustang	product-airplane
from	O
John	organization-company
Dille	organization-company
y	O
of	O
the	O
USA	location-GPE
.	O

The	O
HAL	organization-company
Light	product-airplane
Combat	product-airplane
Helicopter	product-airplane
(	O
LCH	product-airplane
)	O
is	O
an	O
Indian	location-GPE
multi-role	O
attack	O
helicopter	O
designed	O
and	O
manufactured	O
by	O
Hindustan	organization-company
Aeronautics	organization-company
Limited	organization-company
(	O
HAL	organization-company
)	O
.	O

In	O
,	O
a	O
Beech	product-airplane
95	product-airplane
Baron	product-airplane
was	O
acquired	O
for	O
flying	O
new	O
routes	O
to	O
Bakouma	location-GPE
and	O
Bangassou	location-GPE
.	O

The	O
Celier	product-airplane
Xenon	product-airplane
4	product-airplane
(	O
also	O
referred	O
to	O
by	O
the	O
manufacturer	O
as	O
the	O
Xenon	product-airplane
IV	product-airplane
)	O
is	O
a	O
Maltese	location-GPE
autogyro	O
designed	O
by	O
Raphael	person-other
Celier	person-other
and	O
produced	O
by	O
Celier	person-other
Aviation	person-other
of	O
Safi	location-GPE
,	O
Malta	location-GPE
.	O

Following	O
her	O
studies	O
,	O
McClain	person-soldier
qualified	O
as	O
a	O
Bell	product-airplane
OH-58	product-airplane
Kiowa	product-airplane
Warrior	product-airplane
helicopter	O
pilot	O
.	O

He	O
was	O
awarded	O
the	O
Distinguished	other-award
Flying	other-award
Cross	other-award
during	O
World	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
II	event-attack,battle,war,militaryconflict
for	O
his	O
service	O
as	O
a	O
de	product-airplane
Havilland	product-airplane
Mosquito	product-airplane
night-fighter	O
pilot	O
with	O
the	O
Royal	organization-other
Canadian	organization-other
Air	organization-other
Force	organization-other
,	O
having	O
destroyed	O
four	O
enemy	O
aircraft	O
,	O
including	O
the	O
first	O
Mistel	product-airplane
composite	product-airplane
``	product-airplane
piggyback	product-airplane
''	product-airplane
aircraft	product-airplane
.	O

Astronaut	O
Rodolfo	person-other
Neri	person-other
Vela	person-other
who	O
flew	O
aboard	O
``	O
Atlantis	product-airplane
``	O
on	O
STS-61-B	product-other
mission	product-other
in	O
1985	O
became	O
the	O
first	O
and	O
so	O
far	O
only	O
Mexican	location-GPE
to	O
have	O
traveled	O
to	O
space	O
.	O

Under	O
this	O
first	O
phase	O
of	O
the	O
program	O
,	O
designated	O
as	O
``	O
ROSE–I	product-other
``	O
,	O
around	O
33	O
Mirage	product-airplane
III	product-airplane
fighter	product-airplane
jets	product-airplane
,	O
designated	O
``	O
ROSE	product-other
I	product-other
``	O
,	O
were	O
upgraded	O
to	O
perform	O
multiple	O
mission	O
types	O
including	O
air	O
superiority	O
and	O
strike	O
missions	O
.	O

In	O
an	O
administrative	O
reorganization	O
in	O
2008	O
,	O
UH-60J	product-airplane
helicopter	O
operations	O
were	O
transferred	O
to	O
JMSDF	building-other
Ōminato	building-other
Air	building-other
Station	building-other
.	O

Ten	O
Israeli	product-airplane
F-15I	product-airplane
``	product-airplane
Ra'am	product-airplane
''	product-airplane
fighter	O
jets	O
(	O
including	O
aircraft	product-airplane
'209	product-airplane
'	product-airplane
)	O
from	O
the	O
Israeli	organization-other
Air	organization-other
Force	organization-other
69th	organization-other
Squadron	organization-other
armed	O
with	O
laser-guided	O
bombs	O
,	O
escorted	O
by	O
F-16I	product-airplane
``	product-airplane
Sufa	product-airplane
''	product-airplane
fighter	product-airplane
jets	product-airplane
–	O
including	O
aircraft	product-airplane
'432	product-airplane
'	product-airplane
from	O
253rd	O
squadron	O
and	O
'459	O
'	O
from	O
119th	O
squadron–	O
and	O
a	O
few	O
ELINT	product-airplane
aircraft	product-airplane
,	O
took	O
off	O
from	O
Ramat	location-other
David	location-other
Airbase	location-other
.	O

In	O
1956	O
it	O
was	O
equipped	O
with	O
AT-6	product-airplane
Texan	product-airplane
and	product-airplane
T-34	product-airplane
Mentor	product-airplane
aircraft	product-airplane
,	O
to	O
provide	O
training	O
to	O
pilots	O
recently	O
graduated	O
from	O
the	O
Military	organization-education
Aviation	organization-education
School	organization-education
(	O
``	O
Escuela	organization-education
Militar	organization-education
de	organization-education
Aviación	organization-education
``	O
)	O
.	O

The	O
XP-37	product-airplane
was	O
plagued	O
with	O
supercharger	O
and	O
visibility	O
problems	O
.	O

The	O
aircraft	O
is	O
based	O
upon	O
the	O
design	O
of	O
the	O
Piper	product-airplane
PA-18	product-airplane
Super	product-airplane
Cub	product-airplane
and	O
is	O
supplied	O
as	O
a	O
kit	O
for	O
amateur	O
construction	O
.	O

The	O
squadron	O
remained	O
a	O
transport	O
unit	O
for	O
the	O
remainder	O
of	O
its	O
existence	O
,	O
finally	O
being	O
equipped	O
with	O
the	O
turboprop	O
Lockheed	product-airplane
C-130	product-airplane
Hercules	product-airplane
.	O

VT-4	product-airplane
was	O
reactivated	O
in	O
June	O
2013	O
,	O
no	O
longer	O
flying	O
the	O
T-39	product-airplane
Sabreliner	product-airplane
and	O
has	O
introduced	O
the	O
Multicrew	product-other
Simulator	product-other
(	O
MCS	product-other
)	O
to	O
TRAWING	product-airplane
SIX	product-airplane
.	O

By	O
the	O
late	O
1970s	O
,	O
Air	organization-company
Botswana	organization-company
operated	O
one	O
HS	product-airplane
748	product-airplane
,	O
one	O
Douglas	product-airplane
DC-3	product-airplane
and	O
one	O
Vickers	product-airplane
Viscount	product-airplane
754	product-airplane
,	O
the	O
latter	O
on	O
lease	O
from	O
Protea	organization-company
Airways	organization-company
.	O

The	O
SH-60J	product-airplane
is	O
built	O
in	O
Japan	location-GPE
under	O
license	O
from	O
Sikorsky	location-GPE
.	O

39	O
built	O
16	O
Pe-3s	product-airplane
in	O
August	O
,	O
including	O
the	O
prototype	O
,	O
98	O
in	O
September	O
and	O
82	O
in	O
October	O
before	O
the	O
factory	O
was	O
evacuated	O
to	O
Irkutsk	location-GPE
late	O
in	O
October	O
.	O

The	O
Helldiver	product-airplane
's	O
propeller	O
sliced	O
the	O
Zero	product-airplane
into	O
pieces	O
.	O

On	O
October	O
20	O
,	O
1948	O
there	O
was	O
flown	O
a	O
prototype	O
of	O
the	O
last	O
variant	O
,	O
Żak-4	product-airplane
,	O
meant	O
for	O
a	O
glider	O
towing	O
.	O

On	O
9	O
March	O
1954	O
civilian	O
pilots	O
from	O
the	O
CIA	organization-government,governmentagency
-backed	O
Civil	organization-company
Air	organization-company
Transport	organization-company
(	O
CAT	organization-company
)	O
arrived	O
at	O
Cat	location-GPE
Bi	location-GPE
to	O
begin	O
flying	O
C-119s	product-airplane
,	O
they	O
began	O
flying	O
cargo	O
missions	O
on	O
12	O
March	O
.	O

They	O
were	O
an	O
Iberia	product-airplane
McDonnell	product-airplane
Douglas	product-airplane
DC-9	product-airplane
flying	O
from	O
Palma	location-GPE
de	location-GPE
Mallorca	location-GPE
to	O
London	location-GPE
and	O
a	O
Spantax	product-airplane
Convair	product-airplane
990	product-airplane
from	O
Madrid	location-GPE
to	O
London	location-GPE
.	O

Named	O
by	O
Advisory	organization-other
Committee	organization-other
on	organization-other
Antarctic	organization-other
Names	organization-other
(	O
US-ACAN	organization-other
)	O
for	O
Commander	O
George	person-soldier
R.	person-soldier
Olliver	person-soldier
,	O
U.S.	organization-other
Navy	organization-other
,	O
who	O
was	O
injured	O
in	O
the	O
crash	O
of	O
an	O
Otter	product-airplane
aircraft	O
on	O
December	O
22	O
,	O
1955	O
,	O
following	O
a	O
take-off	O
from	O
near	O
Cape	location-island
Bird	location-island
.	O

The	O
airplane	O
was	O
a	O
Curtiss	product-airplane
SB2C	product-airplane
Helldiver	product-airplane
that	O
had	O
ditched	O
in	O
the	O
reservoir	O
because	O
of	O
engine	O
failure	O
while	O
conducting	O
dive	O
bombing	O
practice	O
toward	O
the	O
end	O
of	O
World	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
II	event-attack,battle,war,militaryconflict
.	O

It	O
was	O
responsible	O
for	O
recovering	O
debris	O
from	O
Space	product-airplane
Shuttle	product-airplane
Columbia	product-airplane
that	O
fell	O
on	O
its	O
premises	O
in	O
2003	O
.	O

The	O
Dassault	organization-company
company	O
designed	O
a	O
light	O
transport	O
aircraft	O
in	O
the	O
late	O
1950s	O
,	O
designated	O
MD.415	product-airplane
and	O
later	O
named	O
``	O
Communauté	product-airplane
``	O
,	O
as	O
a	O
potential	O
replacement	O
for	O
the	O
Dassault	product-airplane
MD	product-airplane
315	product-airplane
Flamant	product-airplane
in	O
its	O
trainer	O
,	O
command	O
transport	O
or	O
ambulance	O
aircraft	O
roles	O
.	O

This	O
would	O
later	O
evolve	O
into	O
the	O
famous	O
Wellington	product-airplane
bomber	product-airplane
,	O
a	O
mainstay	O
of	O
RAF	product-airplane
Bomber	product-airplane
Command	product-airplane
and	product-airplane
RAF	product-airplane
Coastal	product-airplane
Command	product-airplane
during	O
World	event-attack,battle,war,militaryconflict
War	event-attack,battle,war,militaryconflict
II	event-attack,battle,war,militaryconflict
.	O

From	O
1934	O
license	O
manufacturing	O
of	O
the	O
Armstrong	product-airplane
Siddeley	product-airplane
Panther	product-airplane
II	product-airplane
began	O
in	O
Norway	location-GPE
at	O
Marinens	location-other
Minevesen	location-other
in	O
Horten	location-GPE
,	O
with	O
F.314	O
being	O
the	O
first	O
aircraft	O
equipped	O
with	O
a	O
Norwegian	location-GPE
-made	O
engine	O
.	O

On	O
April	O
30	O
,	O
1963	O
,	O
a	O
DC-3-201E	product-airplane
(	O
Registration	O
JA5039	product-airplane
)	O
operated	O
by	O
All	organization-company
Nippon	organization-company
Airways	organization-company
(	O
ANA	organization-company
)	O
crashed	O
on	O
landing	O
.	O

On	O
the	O
IL-400	product-airplane
's	product-airplane
maiden	O
flight	O
on	O
15	O
August	O
1923	O
,	O
the	O
aircraft	O
stalled	O
and	O
crashed	O
because	O
its	O
center	O
of	O
gravity	O
was	O
too	O
far	O
aft	O
.	O

On	O
17	O
July	O
1978	O
,	O
the	O
maiden	O
flight	O
was	O
performed	O
by	O
a	O
development	O
aircraft	O
,	O
designated	O
``	O
G-4	product-airplane
PPP	product-airplane
``	O
;	O
during	O
1983	O
,	O
the	O
first	O
``	O
G-4	product-airplane
``	O
made	O
its	O
first	O
flight	O
.	O

When	O
they	O
reached	O
``	O
Super	product-airplane
Six-Four	product-airplane
``	O
,	O
they	O
extracted	O
Durant	person-soldier
and	O
the	O
crew	O
members	O
from	O
the	O
crash	O
and	O
defended	O
the	O
aircraft	O
.	O

That	O
same	O
year	O
,	O
the	O
former	O
93rd	organization-other
Bomb	organization-other
Wing	organization-other
at	O
Robins	location-GPE
was	O
reactivated	O
as	O
the	O
93rd	organization-other
Air	organization-other
Control	organization-other
Wing	organization-other
with	O
the	O
E-8	product-airplane
Joint	product-airplane
STARS	product-airplane
aircraft	O
.	O
